Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Benefits and perks,Job Type
Data Scientist,-1,"Job details
Benefits & Perks
Work from home
Job Type
Full-time
Internship
Qualifications
Total work: 1 year (Preferred)
Benefits
Pulled from the full job description
Work from home
Full Job Description
We are seeking a highly motivated and skilled data scientist intern to join our team. The candidate will be responsible for analyzing complex data sets, developing statistical models, and creating visualizations to help our team make data-driven decisions.
Responsibilities:
Collecting, cleaning, and organizing large datasets
Conducting exploratory data analysis and developing insights
Creating predictive models and performing statistical analysis
Developing data visualizations to communicate findings
Collaborating with cross-functional teams to support data-driven decision making
Working Conditions:
Full-time internship position
Work from home
Laptop and WiFi connection provided
Working hours: 9:00 AM to 6:00 PM
We are an equal opportunity employer and welcome applicants from all backgrounds to apply. If you're passionate about data science and want to gain valuable experience working on real-world projects, we encourage you to apply.
Job Types: Full-time, Internship
Contract length: 3 months
Schedule:
Day shift
Ability to commute/relocate:
Chennai, Tamil Nadu: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 1 year (Preferred)
Hiring Insights
Hiring 2 candidates for this role
Job activity
Employer reviewed job 14 days ago
Posted 22 days ago",-1,Internatinal Scientific Research and Publications,"Remote in Chennai, Tamil Nadu",['Work from home'],"['Full-time', 'Internship']"
Data Scientist,-1,"Job details
Job Type
Regular / Permanent
Full Job Description
Job Description
Develop strategies to solve problems in logical yet creative ways
Helping & Managing teams of data scientist and produce project deliverables
Identify and address client needs in different domains.
Processing, cleansing and verifying the integrity of data used for analysis. Data mining and performing EDAs using state-of-the-art methods
Selecting features, building and optimizing classifiers / regressors, etc. using machine learning & deep learning techniques
Help enhance data collection procedures to include information that is relevant for building analytical systems
Doing ad-hoc analysis and presenting results in a clear manner
Follow and help improve with ‘Analytics-Delivery’ procedures using detailed documentations
Create custom reports and presentations accompanied by strong data visualization and storytelling
Present analytical conclusions to senior officials in a company and other stakeholders
Primary Skill
Proficient in data mining and data cleansing techniques
Excellent understanding and hand-on experience of data-science and machine learning techniques & algorithms for supervised & unsupervised problems, NLP and computer vision. Good applied statistics skills, such as distributions, statistical inference & testing, etc.
Excellent understanding and hand-on experience on building Deep-learning models for text & image analytics (such as ANNs, CNNs, LSTM, Transfer Learning, Encoder and decoder, etc).
Proficient in coding in common data science language & tools such as R, Python, Go, SAS, Matlab etc.
Experience with common data science toolkits, such as NumPy, Pandas, StatModel, Scikit learn, SciPy, NLTK, Spacy, Gensim, OpenCV etc.
Experience with common data science frameworks such as Tensorflow, Keras, PyTorch, XGBoast, H2O etc.
Exposure or knowledge in cloud (AWS/GCP/Azure) and big data technologies such as Hadoop, Hive, MapReduce, Pyspark etc.
Experience in multiple domains and successfully executed big project in different domains.
Experience on deployment of model in production.
Familiarity with database systems of SQL and NoSQL
Familiarity with data visualization tools such as Tableau, MS PowerBI etc
Please share resume on vidhami.mishra@capgemini.com
#Data Scientist #NLP #Machine Learning #Deep Learning #ML
Hiring Insights
Job activity
Posted 2 days ago",3.5,Capgemini Invent,"Bengaluru, Karnataka",[],['Regular / Permanent']
Data Scientist - All Levels,"From ₹1,50,000 a year","Job details
Salary
From ₹1,50,000 a year
Job Type
Full-time
Full Job Description
Data Scientist - All Levels
Located in Bangalore, Karnataka, India
ABOUT THIS JOB
Salary: N.A
Employment Type: Full Time
Industry : Financial services
Company Type: Private
SKILLS
Python/R SQL Liner/Logistic Regression ModellingRisk ForestRLinear Regression Credit RiskDecision NetworksSupport
JOB DESCRIPTION
Responsibilities:
As part of the Data Science team, you will be part of the effort to transform Jai Kisan into an AI driven fintech company. We are looking for someone who has a proven track record of solving a variety of data science problems ( minimum 1 year of relevant work experience and a project portfolio on Github).
As a member of the data science team, you will be involved in strategizing new projects that add value to the business and implement them end-to-end. These projects will involve analyzing data, making statistical inferences to gain deep insights and building predictive modelsto generate significant business value and aid more informed decision making.

Day to day tasks will involve:
Identifying valuable data sources and automate collection processes
Undertaking pre-processing of structured and unstructured data
Analyzing large amounts of information to discover trends and patterns
Building predictive models and machine-learning algorithms
Presenting information using data visualization techniques
Proposing solutions and strategies to business challenges
Collaborating with other teams in the organization

Skills:
Graduate or post graduate with experience in solving data science problems
Proficient with Python/R and SQL
Statistical and ML modelling techniques: Linear/logistic regression (including advanced predictor selection techniques), classification (decision trees, random forests), Support VectorMachines (SVMs), neural networks, etc
Algorithm Development: Machine learning, Deep learning, and advanced Algorithmic solution development
Ability to think strategically about Customer experience, business, product, and technical challenges
Familiarity with tech stacks and ability to building scalable and production ready models
Good written and verbal communication skills
Jaikisan at a glance
Team of >500 people
Located in Bangalore, Karnataka, India
About Jaikisan
OUR VISION: Jai Kisan was founded with the vision of making financial inclusion a reality for rural individuals and businesses. Jai Kisan today provides digital financial services starting with credit for online and offline, income generating, rural commerce transactions. THE PROBLEM WE ARE SOLVING: Informal credit by the merchant or seller is an expectation for customers and not a value-added service in rural India. Lack of formalized credit poses a dire and imperative challenge for rural businesses to grow. WHAT WE DO: Jai Kisan has leveraged the captive relationship between the business and the farmer and rural individuals in a B2B2C manner to deploy credit to farmers and rural individuals en masse in a sustainable manner working with 700+ organized and unorganized entities in the space with a cumulative customer base of over 1.5 lakh rural individuals including farmers. By empowering rural businesses through point-of-sale/purchase credit, Jai-Kisan has helped create scalability for rural businesses and helps deploy low-cost formal credit to farmers and other rural individuals. OUR INVESTORS: Jai Kisan has raised US $30mn in Series A funding led by Mirae Asset with participation from Syngenta Group Ventures, existing investors and others, prior to this, Jai Kisan had raised US$ 4mn in a pre-Series A funding round led by Arkam Ventures. Also joining in the round was NABVENTURES — the VC arm of Indian development finance institution (DFI), the National Bank for Agriculture and Rural Development (NABARD) in its first-ever private investment. WHO WORKS AT JAI KISAN: The Jai Kisan team is dedicated towards executing our mission and is passionate towards supporting the transformation of rural India. An entrepreneurial attitude and passion to drive results are core values we seek in every member of our team. Our team comes with varied industry experiences from experienced product builders to industries such as private equity, management consultancy and much more. We pride ourselves on having a dedicated professional team focused on building world class solutions to deliver sustainable financing to rural India.
Hiring Insights
Job activity
Posted 30+ days ago",-1,Greenizon Agritech Consultancy,"Bengaluru, Karnataka",[],['Full-time']
Data Scientist,-1,"Job details
Job Type
Full-time
Full Job Description
Lenskart was founded with a vision to help people see the beautiful world by revolutionizing the eyewear category in India and beyond. The ten-year-old company now delivers 7 million + spectacles a year in India and Singapore and plans to ship out over a billion glasses over the next ten years. Lenskart being an Omni-channel direct to consumer retail brand provides a unique ecosystem of a full spectrum of analytics use cases which very few companies in the world provide. This creates a unique challenge and opportunity for professionals to learn and contribute, at the same time solve a 2 billion+ problem.

Analytics and data science are core to Lenskart’s business across several aspects: retail & store analytics, digital & e-commerce analytics, marketing analytics, supply chain analytics, customer service, text analytics and more.

While the DS team works centrally, we are deeply embedded with the functional teams and have a very strong say in the operational strategy. We are looking for a strong Data Scientist to work on Advanced Analytics use cases who will enable the use of advanced analytics for the area of Customer analytics, Marketing analytics, Text analytics for helping improve marketing ROI and
customer experience

About Lenskart Analytics Team - https://blog.lenskart.com/introducing-analytics-lenskart-f007bd3b9c02

Key Responsibilities:
Experience using machine learning libraries or platforms such as Tensorflow, Scikit-Learn, Spark ML, Python, SQL, Redshift, and knowledge of AWS environment.
Synthesize large volumes of data with attention to granular details and present findings and recommendations to senior-level stakeholders using advanced modelling & algorithm.
Perform online reporting, collection and analysis of digital metrics, process large clickstream data sets from Google Analytics/Big query to provide online user experience improvement.
Analyze the customer base and build a strong customer segmentation framework to look at our customer base in a strategic manner.
Leverage customer data to build churn models, propensity models etc. to increase the efficiency of our marketing spend.
Working closely with the channel teams on campaign optimization.
Leverage customer chat data for applications in text analytics such as sentiment analysis, NPS prediction, topic modelling etc.
Ability to translate advanced analytics problems into an ML model (deep learning, decision trees, Random forest, GBM, Bayesian models, etc.).
Knowledge of MMM Modelling and MTA Modelling is good to have.
Experience in Retail, Ecommerce, and Marketing advanced analytics ML problems is a must with a deep understanding of one area.
Strong analytical and communication skills. Should be self-driven, highly motivated and able to learn quickly.

Strong understanding of analytics needs and proactive-ness to build generic solutions to improve efficiency.
Lead/Work with many global teams, communicate effectively, both written and verbal, with technical and non-technical multi-functional teams.
Strong project management and communication skills, Excel / PowerPoint / Agile /Jira experience.
Most important - Passion for solving business problems with the use of algorithms, analytics and technology.

Education:
Bachelor's / Master’s Degree or Equivalent with 1-3 years of experience in Advanced Analytics roles.
A background in Computer science or statistics from Tier 1 / 2 colleges with strong academics.

Location:
Gurgaon

Good to have:
Candidate needs to have 2-5 years of relevant experience, and a passion for solving business problems with the use of algorithms, analytics, ML and technology skills.
Strong hands-on experience with Python & SQL with a minimum of 2 years of live projects.
Experience in working with analytics tools like Power BI, Tableau etc.
Strong capability to understand business problems in the context of an Omni Channel Retail and use data to solve them.
Strong understanding of marketing analytics concepts, attribution, modelling, etc.
Excellent communication, teamwork and problem-solving skills.
Hiring Insights
Job activity
Posted 30+ days ago",3.5,Lenskart,"Gurgaon, Haryana",[],['Full-time']
Lead Data Scientist,"Up to ₹35,00,000 a year","Job details
Salary
Up to ₹35,00,000 a year
Benefits & Perks
Work from home, Provident Fund
Job Type
Full-time
Regular / Permanent
Qualifications
Total work: 10 years (Preferred)
Teradata: 8 years (Preferred)
Python: 8 years (Preferred)
Benefits
Pulled from the full job description
Provident Fund
Work from home
Full Job Description
Job Description:
1. Empower customers to solve, build and create value from our Discovery Platform deployed within customers' tech stack across Industries (BFSI, Energy, and more.).
2. Manage a portfolio of customers simultaneously and be able to prioritize your work accordingly.
3. Be the face of the company and the product directly interfacing with our customers around the globe.
6. Use your analytical skills and deep product understanding to support our customers and provide them with advice and input of the highest quality.
What will you need?
1. 7-8 + years of relevant experience in Data Science
2. 3- 4 + years of experience within Banking, Insurance, Cards or Fintech business
3. Customer facing experience and excellent presentation and communication skills
4. Proven experience in translating business challenges into data pipelines & model framework
5. Experience in developing end-to-end machine learning solutions, from scoping through to productionisation.
6. Programming skills in Python that allow you to be self-sufficient in handling data
7. Cloud computing (Azure, AWS, GCP)
8. Experience with large datasets and distributed computing Databricks / Spark.
Nice-to-haves:
1. Top tier Consulting (Big 4) or Top 5 Analytics Consulting firm.
2. MS/PhD in Math, Statistics, Computer Science, Physics, Bioinformatics or another quantitative field or equivalent.
3. Programming skills other than Python (SQL, Scala, Java, etc).
Job Types: Full-time, Regular / Permanent
Salary: Up to ₹3,500,000.00 per year
Benefits:
Provident Fund
Work from home
Schedule:
Day shift
Ability to commute/relocate:
Chinchwad, Pune, Maharashtra: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 10 years (Preferred)
Teradata: 8 years (Preferred)
Python: 8 years (Preferred)
Hiring Insights
Hiring 2 candidates for this role
Job activity
Employer reviewed job 2 days ago
Posted 8 days ago",-1,ECS Technologies Pvt. Ltd.,"Remote in Chinchwad, Pune, Maharashtra","['Work from home ', 'Provident Fund']","['Full-time', 'Regular / Permanent']"
Data Scientist,-1,"Job details
Benefits & Perks
Work from home, Provident Fund
Benefits
Pulled from the full job description
Provident Fund
Work from home
Full Job Description
The Opportunity
Our mission is to change the way the world works by democratizing AI for every business, and to build a great company that everyone loves being a part of. These two goals haven't changed since the days when Peak was little more than an idea forming in the heads of our founders Richard, Atul and Dave.
Peak is an AI company that provides the platform, application and services to help businesses harness the potential of AI to grow revenues, increase profits and efficiencies.
It's an incredibly exciting time here at Peak. Off the back of our $75m Series C funding round in late 2021, led by SoftBank, we're scaling our offering, and putting AI in the hands of even more customers.
We have ambitious plans for the future and that means we're looking to welcome new people to our team. At Peak, culture and success come hand in hand – so creating and protecting a company culture that's true to our values remains a fundamental aspect of our mission.
Purpose of the Role
To work with clients across multiple sectors; applying the latest research and technology to overcome real life commercial problems.
The Role
You'll work as a key part of the data science team, who shape our products and drive growth by transforming how our customers operate. Interfacing with diverse people and situations - from academic experts to being onsite with our customers; this position requires a high degree of autonomy and responsibility. Furthermore, there is considerable opportunity to expand the role as Peak grows.
We're looking for leading expertise in machine learning and data mining. An essential part of the role will involve keeping up-to-date with technological developments and research in the area. You must be enthusiastic for the discipline, excited by novel applications that these techniques offer, and have the ability to communicate your understanding and findings clearly to experts in other disciplines.
Personal Skills
We are looking for teammates who are:
Open - excellent verbal and written communication skills, including the ability to clearly communicate complex information to those in other disciplines.
Driven – shows high levels of drive, energy, resilience and a desire for professional excellence.
Curious - naturally inquisitive with a problem-solving mindset.
Smart – keeps up to date with the latest data science news, market results and industry announcements.
Responsible - effectively balance competing priorities and work productively as part of the team.
Required Experience
We are looking for:
Experience in one or some of - statistical modelling, machine learning, data mining, unstructured data analytics, natural language processing.
Proficiency in statistical and other tools/languages, specifically R and /or Python.
Familiarity with relational databases and intermediate level knowledge of SQL.
Sound understanding of a wide range of statistical techniques.
Understanding and presenting of findings to a non-technical audience.
Benefits
Competitive compensation package.
25 days annual leave, rising to 30 with service, plus eight flexible bank holidays.
Share options for everyone, when we win, we all win.
Enhanced health insurance plans for you, your spouse and children.
State of the art equipment (Apple Mac) to work from
Family leave benefits, including a world class maternity pay package.
Provident fund.
Opportunity to work from anywhere in the world for one month of the year, after one year's service.
Opportunity to spend one day volunteering.
Headspace and Spill app subscriptions to support your mental health and wellbeing.
Subsidised gym membership.
Online exercise and embodiment classes.
Regular company and team days along with social activities.
Travel to Peak's clubhouses around the world.
Opportunity for professional development and certifications.
In early 2023, we moved to an organised hybrid model that allows us to get together and collaborate in person but also offers flexibility. We promote flexible working hours with our team working 3 days onsite in our clubhouses with an option of 2 days remote (subject to reasonable adjustments).
Our 4 step interview process
Intro call - Initial intro to Peak with one of our Talent Managers, Priyavrat Singh Rathore
Team meeting - Video Interview with two Data Scientists in the team to explore values and find out more about your technical background.
Skills Session - You will be set a task and asked to present your work to the team followed by a discussion and questions.
Meet leadership - Get the lowdown on Peak, our future and your career with a final chat with someone in our leadership team.
Diversity, Equity & inclusion
We're here to change the way the world works and build an amazing company that everyone loves being part of. We know diverse perspectives and experiences result in better solutions, which is why we want all of our Peakers to bring their authentic selves to work.
We've been striving to build a diverse and inclusive team from the outset. It's a continuous journey, and there's more we can do – but we're proud of what we've achieved so far, which is ahead of the tech industry standard.
We've set targets in relation to gender and ethnicity, for now, but we know there's more to diversity than just these two areas. We're passionate about creating an inclusive environment for those of all ages, religions, sexual orientations, socio-economic status and for those with disabilities.
We are proud to be a Disability Confident Committed employer – a UK Government certification for organizations actively taking steps to attract, recruit and retain persons with disabilities. If you need any reasonable adjustments as part of the recruitment process, please let us know.
About Peak
Founded in Manchester in 2015 by Richard Potter, David Leitch and Atul Sharma, Peak is on a mission to change the way the world works by putting AI applications in the hands of business teams.
Peak's AI platform is used by leading brands including Nike, Palace, PepsiCo, KFC and Sika, and provides a broad feature set that enables technical and commercial teams to build, deploy and manage AI applications at scale. The platform features a library of pre-built AI applications that rapidly create real value across a range of business functions.
In August 2021, Peak announced a $75m Series C funding round led by SoftBank's Vision Fund II. The same year, it received a Best Companies 3-star accreditation, which recognizes extraordinary levels of employee engagement, and was ranked by The Sunday Times as one of the Best 100 Companies to Work For in 2020 and again by Best Companies in 2021 and 2022. This year Peak was also recognized as one of Fast Company's Best Workplaces for Innovators.
www.peak.ai
@Peak_HQ
Hiring Insights
Job activity
Posted 30+ days ago",-1,Peak AI,"Hybrid remote in Pune, Maharashtra","['Work from home ', 'Provident Fund']",N/A
Data Scientist,-1,"Job details
Benefits & Perks
Health insurance, Internet reimbursement, Cell phone reimbursement
Job Type
Full-time
Regular / Permanent
Qualifications
Total work: 3 years (Preferred)
Benefits
Pulled from the full job description
Cell phone reimbursement
Flexible schedule
Health insurance
Internet reimbursement
Full Job Description
Company Name - Tech Mahindra
Experience required= 3 to 11 years
Location = Pune , Bangalore and Nagpur
Notice Period - Immediate joiner to 30 days
Skillset Required -
Data Science ,pyspark , Python, AWS.
Job Types: Full-time, Regular / Permanent
Benefits:
Cell phone reimbursement
Flexible schedule
Health insurance
Internet reimbursement
Schedule:
Day shift
Evening shift
Monday to Friday
Morning shift
Rotational shift
Supplemental pay types:
Commission pay
Joining bonus
Overtime pay
Performance bonus
Quarterly bonus
Shift allowance
Yearly bonus
Ability to commute/relocate:
Pune, Maharashtra: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 3 years (Preferred)
Speak with the employer
+91 8530444130

Health insurance
Hiring Insights
Application response rate: 59%
On-going need to fill this role
Job activity
Employer reviewed job 1 day ago
Posted 30+ days ago",-1,Monjin Interview Pvt Ltd,"Pune, Maharashtra","['Health insurance ', 'Internet reimbursement ', 'Cell phone reimbursement']","['Full-time', 'Regular / Permanent']"
Crypto Data Scientist (India Remote),-1,"Job details
Job Type
Full-time
Full Job Description
Token Metrics is searching for a highly capable machine learning engineer to optimize our machine learning systems. You will be evaluating existing machine learning (ML) processes, performing statistical analysis to resolve data set problems, and enhancing the accuracy of our AI software's predictive automation capabilities.

As a machine learning engineer, you should demonstrate solid data science knowledge and experience.

A first-class machine learning engineer will be someone whose expertise translates into the enhanced performance of predictive models.
Responsibilities
Consulting with the manager to determine and refine machine learning objectives.
Designing machine learning systems and self-running artificial intelligence (AI) to automate predictive models.
Transforming data science prototypes and applying appropriate ML algorithms and tools.
Ensuring that algorithms generate accurate user recommendations.
Solving complex problems with multi-layered data sets, as well as optimizing existing machine learning libraries and frameworks.
Developing ML algorithms to analyze huge volumes of historical data to make predictions.
Stress testing, performing statistical analysis, and interpreting test results for all market conditions.
Documenting machine learning processes.
Keeping abreast of developments in machine learning.
Requirements
Bachelor's degree in computer science, data science, mathematics, or a related field.
Master’s degree in computational linguistics, data science, data analytics, or similar will be advantageous.
At least two years' experience as a machine learning engineer.
Advanced proficiency with Python, Java, and R code.
Extensive knowledge of ML frameworks, libraries, data structures, data modeling, and software architecture.
In-depth knowledge of mathematics, statistics, and algorithms.
Superb analytical and problem-solving abilities.
Great communication and collaboration skills.
Excellent time management and organizational abilities.
About Token Metrics

Token Metrics helps crypto investors build profitable portfolios using artificial intelligence based crypto indices, rankings, and price predictions.

Token Metrics has a diverse set of customers, from retail investors and traders to crypto fund managers, in more than 50 countries.
Hiring Insights
Job activity
Posted 30+ days ago",-1,Token Metrics,"Remote in Hyderabad, Telangana
+1 location",[],['Full-time']
Data Science (NLP) Intern,"₹20,000 a month","Job details
Salary
₹20,000 a month
Job Type
Full-time
Internship
Fresher
Benefits
Pulled from the full job description
Cell phone reimbursement
Internet reimbursement
Work from home
Full Job Description
Job Title: NLP/Data Science Intern
Stipend- 20,000 Rs/Month Duration- 6 Months Job Location- Remote/Work from Home
Job Description:
We are seeking a highly motivated and skilled individual to join our team as an NLP Intern.
The ideal candidate should have a background in Computer Science or Information Technology, and have completed coursework in Natural Language Processing (NLP).
**High performing candidates will be considered for full-time positions as well.
During their internship, the NLP Intern will be expected to explore and experiment with state-of-the-art algorithms in areas such as Q&A, semantic search, recommendation systems, and machine learning models with text data.
They will be responsible for fine-tuning and optimizing these models for performance using available open source models.
The NLP Intern will also support the team with data preparation and training of models.
A good understanding of HuggingFace models and/or deep learning frameworks is desirable.
If you have links to Kaggle or other online competitions, please include them in your application/Resume.
Qualifications:
B.E/B.Tech in computer science or information technology (preferred)
Good academic background and demonstrated programming skills
Experience with NLP or machine learning projects
Strong problem-solving and attention to detail
Ability to quickly adapt to new development environments and changing business requirements
Full-time availability is a strong advantage
Technical Skills:
Data science
NLP
Python
Sentence Transformers / Hugging Face
Semantic search
Q&A Algorithms
Recommendation engine
Conversational AI and chatbots (Desirable)
Exposure to Cloud Technologies (Desirable)
Web services development (Desirable)
Job Types: Full-time, Fresher, Internship
Contract length: 6 months
Salary: ₹20,000.00 per month
Benefits:
Cell phone reimbursement
Internet reimbursement
Work from home
Schedule:
Day shift
Monday to Friday
Application Question(s):
Are you available for 6 months Full Time Internship ?
Have you done Internships in Data Science (NLP) before?
Have you done any project related to NLP outside your coursework?
Hiring Insights
Application response rate: 53%
Hiring 2 candidates for this role
Job activity
Employer reviewed job 2 days ago
Posted 18 days ago",-1,Emplay Inc,Remote,[],"['Full-time', 'Internship', 'Fresher']"
Intern - Data Scientist,-1,"Job details
Benefits & Perks
Provident Fund, Health insurance
Job Type
Internship
Benefits
Pulled from the full job description
Health insurance
Provident Fund
Full Job Description
Tridiagonal Solutions Pvt. Ltd. (https://dataanalytics.tridiagonal.com/) is one of the premium consultants providing innovative process engineering and technologically advanced solutions to fortune 100 companies globally.
What we do: We leverage advanced Modeling & analytics, workflow automation, and data science techniques to provide solutions to the process industry verticals like Oil & gas, Energy & Power, food, pharma and Chemicals. We are one of the thought leaders in our space due to unique/niche expertise we possess and collaborate with process excellence teams of world’s largest corporate houses in the US and Europe such as P&G, Unilever, Pfizer, J&J, Mondelez, Chevron, Shell, Adidas, etc.).
About an Opportunity: For our Data Science and Analytics Practice, we are looking for young and dynamic chemical engineers with good data-driven Modeling and Analytics background. As an application engineer, you will get an opportunity to work on Tridiagonal’s state-of-the-art data analytics solutions based on latest ML/AI techniques for global customers.
Purpose: Our Process Data Analytics team work on data strategy, data aggregation / cleansing, advanced performance modelling using ML/AI framework and statistical methods (Python, R, Matlab). The role demands consulting approach to work with customers and help them with training, Proof of Concept (POC) and troubleshooting with analytics platform.
Essential Duties and Key Competencies:
A Chemical Engineer / analysts with comprehensive engineering, mathematical, statistical, and analytical skills
Expertise in using ML/AI frameworks (Python, R, MATLAB, etc.) and statistical techniques to identify the correlations and trends in the data
Effective mining of data and analysis of data to build performance model and decision support frameworks such as predictive analytics
A strong background on chemical engineering fundamentals and first-principle
Proficient with statistical (process) and time series data (DOE, manufacturing / Historian)
Identify, define and execute projects for adapting latest technologies and tools like Data aggregation, Data cleaning, Data quality, Integration, Data Management, Data Analytics, Data Science, etc.
Influence stakeholders from various disciplines and across different levels of seniority across the organization.
Solution mindset, creative and good at relationship management
Experienced in understanding problems, collecting data, establishing facts and drawing valid conclusions
Provide expertise in deployment of high-end technological initiatives and digital solutions like historian, data analytics, BI, workflow automation tools, Data Analytics (using partner platforms),
Experience in AWS, Azure machine learning services is preferred
Strong understanding of database systems, querying the database, time series data is preferred
Collaborate / work closely with Service Delivery Team & Marketing team
Successful track record in leading and delivering projects, large programs, applications across companies and domains
Strong domain knowledge of Pharma, Chemical, Oil & Gas, Utilities, etc.
Results oriented leadership and management skills with strong communication, people management and problem-solving skills
Self-starter, quick learner, experience in working in multi-cultural environment across different geographies
Additional Skills (Optional)
Certification in Azure, AWS or GCP machine learning platforms
Understanding of cloud-based ML/AI architecture and deployment strategies
Understanding of MLOps and its best practices
Experienced with mlflow, Jenkins and others
Knowledge of SQL, No-SQL, time-series databases
VALUES
Customer focus
Results and Accountability
Innovation
Transparency and Integrity
Inclusiveness
Sense of urgency
Collaboration and Teamwork
Teamwork
Education/Skills/Experience:
Bachelors / Master’s degree in Computer Science / Chemical Engg. with an exposure and interest in Data Analytics / Science.
Location: Pune
Work Mode: Work from Office
Compensation:
As per market standards
Benefits like Employer PF, Gratuity, Insurance (Mediclaim + Accidental) Benefits etc
Hiring Insights
Job activity
Posted 30+ days ago",-1,Tridiagonal Solutions,"Pune, Maharashtra","['Provident Fund ', 'Health insurance']",['Internship']
A&A -Sr. Data Scientist - AI POD,-1,"Sr. Data Scientist
As a Senior Data Scientist, you will focus on supporting the Data Science group and actively participate in all the processes of a data science project, with a focus on generating and selecting features, creating models, and boosting their performance and accuracy, as well as guiding and supervising more junior resources.
Specifically, you will be expected to:
Apply rigorous data science practices on your specific assigned workstreams; particularly:
o Perform exploratory data analysis to understand relationships and opportunities to influence outcomes, while being able to quickly iterate common feature transformation and model types to find the best predictive models
o Develop proofs of concept to verify your ideas, including counterfactual explanations for interpretability
Collaborate daily with Data Science Managers to solve complex data science problems that emerge within your workstream and others.
Collaborate with subject matter experts to obtain an understanding of the underlying business problem, and to define and refine the corresponding technical solution.
Be a key contributor to the planning and direction of a project and effectively prioritize goals and objectives
Identify opportunities to apply the latest advancements in machine learning and artificial intelligence to build, test, and validate models
Make impactful contributions to internal discussions on emerging machine learning methodologies
Effectively explain technical concepts
Develop and embed automated processes for model validation, deployment, and implementation
Qualifications
Required:
Undergraduate degree in a quantitative field (computer science, engineering, mathematics, physics, machine learning, statistics)
3+ years of industry experience designing, developing, and deploying machine learning models
Experience with cloud-based ecosystems (Azure, GCP, AWS)
Extensive experience with Python and relevant libraries (NumPy, Pandas, Scikit-learn, etc.)
Solid understanding of machine learning model development life cycles
Demonstrated understanding of machine learning model performance assessment
Experience with version control practices and tools (Git, etc.)
Experience using common machine learning and deep learning libraries and techniques, including TensorFlow, PyTorch, and big data platforms
Fluency in both structured and unstructured data (SQL, NOSQL)
Knowledge of Docker, Jenkins, Kubernetes, and other DevOps tools
Excellent verbal and written communication skills
Ability to travel when necessary
Preferred:
Master’s degree or PhD in a quantitative field (computer science, engineering, mathematics, physics, machine learning, statistics)
Extensive experience with Microsoft Azure, including certification in machine learning
Experience with machine learning pipelines (Azure ML)
Experience in an Agile working environment and related project management tools (Jira, Azure DevOps, etc.)
Public AI-related projects you have developed available on GitHub

Recruiting tips
Finding the right job and preparing for the recruitment process can be tricky. Check out tips from our Deloitte recruiting professionals to set yourself up for success. Check out recruiting tips from Deloitte recruiters.
Benefits
We believe that to be an undisputed leader in professional services, we should equip you with the resources that can make a positive impact on your well-being journey. Our vision is to create a leadership culture focused on the development and well-being of our people. Here are some of our benefits and programs to support you and your family’s well-being needs. Learn more about what working at Deloitte can mean for you.
Our people and culture
Our people and our culture make Deloitte a place where leaders thrive. Get an inside look at the rich diversity of background, education, and experiences of our people. What impact will you make? Be inspired by the stories of our people.
Our purpose
Deloitte’s purpose is to make an impact that matters for our clients, our people, and in our communities. We are creating trust and confidence in a more equitable society. At Deloitte, purpose is synonymous with how we work every day. It defines who we are. We are focusing our collective efforts to advance sustainability, equity, and trust that come to life through our core commitments. Learn more about Deloitte's purpose, commitments, and impact.
Professional development
You want to make an impact. And we want you to make it. We can help you do that by providing you the culture, training, resources, and opportunities to help you grow and succeed as a professional. Learn more about our commitment to developing our people.
Requisition code: 143203
Hiring Insights
Job activity
Posted 9 days ago",3.9,Deloitte,"Bengaluru, Karnataka",[],N/A
